Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2020","2020","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2020","2020","1000 ha","687.555","A","Official figure",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2020","2020","1000 ha","8481","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2020","2020","1000 ha","2.87","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2020","2020","1000 ha","0.7773","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6620","Cropland","2020","2020","1000 ha","5657","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6620","Cropland","2020","2020","1000 ha","5","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6620","Cropland","2020","2020","1000 ha","42998","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2020","2020","1000 ha","504","A","Official figure",""
"RL","Land Use","533","Aruba","5110","Area","6620","Cropland","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6620","Cropland","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2020","2020","1000 ha","30996","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","2020","2020","1000 ha","1392.6854","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2020","2020","1000 ha","2357","A","Official figure",""
"RL","Land Use","044","Bahamas","5110","Area","6620","Cropland","2020","2020","1000 ha","11","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2020","2020","1000 ha","4.1","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2020","2020","1000 ha","8830","A","Official figure",""
"RL","Land Use","052","Barbados","5110","Area","6620","Cropland","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","112","Belarus","5110","Area","6620","Cropland","2020","2020","1000 ha","5760","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6620","Cropland","2020","2020","1000 ha","888.4901","A","Official figure",""
"RL","Land Use","084","Belize","5110","Area","6620","Cropland","2020","2020","1000 ha","130","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6620","Cropland","2020","2020","1000 ha","3883.0486","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6620","Cropland","2020","2020","1000 ha","0.3","I","Value imputed by a receiving agency",""
"RL","Land Use","064","Bhutan","5110","Area","6620","Cropland","2020","2020","1000 ha","103.5","I","Value imputed by a receiving agency",""
"RL","Land Use","068","Bolivia (Plurinational State of)","5110","Area","6620","Cropland","2020","2020","1000 ha","5527.1214","I","Value imputed by a receiving agency",""
"RL","Land Use","070","Bosnia and Herzegovina","5110","Area","6620","Cropland","2020","2020","1000 ha","1122","A","Official figure",""
"RL","Land Use","072","Botswana","5110","Area","6620","Cropland","2020","2020","1000 ha","262","I","Value imputed by a receiving agency",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2020","2020","1000 ha","63446","I","Value imputed by a receiving agency",""
"RL","Land Use","092","British Virgin Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","096","Brunei Darussalam","5110","Area","6620","Cropland","2020","2020","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","100","Bulgaria","5110","Area","6620","Cropland","2020","2020","1000 ha","3644","A","Official figure",""
"RL","Land Use","854","Burkina Faso","5110","Area","6620","Cropland","2020","2020","1000 ha","8270.8277","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Burundi","5110","Area","6620","Cropland","2020","2020","1000 ha","1593","I","Value imputed by a receiving agency",""
"RL","Land Use","132","Cabo Verde","5110","Area","6620","Cropland","2020","2020","1000 ha","54","I","Value imputed by a receiving agency",""
"RL","Land Use","116","Cambodia","5110","Area","6620","Cropland","2020","2020","1000 ha","4554.8817","I","Value imputed by a receiving agency",""
"RL","Land Use","120","Cameroon","5110","Area","6620","Cropland","2020","2020","1000 ha","7833.9429","I","Value imputed by a receiving agency",""
"RL","Land Use","124","Canada","5110","Area","6620","Cropland","2020","2020","1000 ha","38401","A","Official figure",""
"RL","Land Use","136","Cayman Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","0.7","I","Value imputed by a receiving agency",""
"RL","Land Use","140","Central African Republic","5110","Area","6620","Cropland","2020","2020","1000 ha","2597.3","I","Value imputed by a receiving agency",""
"RL","Land Use","148","Chad","5110","Area","6620","Cropland","2020","2020","1000 ha","5338","I","Value imputed by a receiving agency",""
"RL","Land Use","830","Channel Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","3.63","I","Value imputed by a receiving agency",""
"RL","Land Use","152","Chile","5110","Area","6620","Cropland","2020","2020","1000 ha","1912.9813","I","Value imputed by a receiving agency",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2020","2020","1000 ha","128561.1","E","Estimated value",""
"RL","Land Use","344","China, Hong Kong SAR","5110","Area","6620","Cropland","2020","2020","1000 ha","3","I","Value imputed by a receiving agency",""
"RL","Land Use","156","China, mainland","5110","Area","6620","Cropland","2020","2020","1000 ha","127768","I","Value imputed by a receiving agency",""
"RL","Land Use","158","China, Taiwan Province of","5110","Area","6620","Cropland","2020","2020","1000 ha","790.1","A","Official figure",""
"RL","Land Use","170","Colombia","5110","Area","6620","Cropland","2020","2020","1000 ha","4705.6667","I","Value imputed by a receiving agency",""
"RL","Land Use","174","Comoros","5110","Area","6620","Cropland","2020","2020","1000 ha","118","I","Value imputed by a receiving agency",""
"RL","Land Use","178","Congo","5110","Area","6620","Cropland","2020","2020","1000 ha","642.7","I","Value imputed by a receiving agency",""
"RL","Land Use","184","Cook Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","1.9","I","Value imputed by a receiving agency",""
"RL","Land Use","188","Costa Rica","5110","Area","6620","Cropland","2020","2020","1000 ha","544.3476","A","Official figure",""
"RL","Land Use","384","Côte d'Ivoire","5110","Area","6620","Cropland","2020","2020","1000 ha","12708.4407","I","Value imputed by a receiving agency",""
"RL","Land Use","191","Croatia","5110","Area","6620","Cropland","2020","2020","1000 ha","968","A","Official figure",""
"RL","Land Use","192","Cuba","5110","Area","6620","Cropland","2020","2020","1000 ha","3561.6","I","Value imputed by a receiving agency",""
"RL","Land Use","196","Cyprus","5110","Area","6620","Cropland","2020","2020","1000 ha","125.391","A","Official figure",""
"RL","Land Use","203","Czechia","5110","Area","6620","Cropland","2020","2020","1000 ha","2534.262","A","Official figure",""
"RL","Land Use","408","Democratic People's Republic of Korea","5110","Area","6620","Cropland","2020","2020","1000 ha","2546.5","I","Value imputed by a receiving agency",""
"RL","Land Use","180","Democratic Republic of the Congo","5110","Area","6620","Cropland","2020","2020","1000 ha","15677.5","I","Value imputed by a receiving agency",""
"RL","Land Use","208","Denmark","5110","Area","6620","Cropland","2020","2020","1000 ha","2397.582","A","Official figure",""
"RL","Land Use","262","Djibouti","5110","Area","6620","Cropland","2020","2020","1000 ha","3.8","I","Value imputed by a receiving agency",""
"RL","Land Use","212","Dominica","5110","Area","6620","Cropland","2020","2020","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","214","Dominican Republic","5110","Area","6620","Cropland","2020","2020","1000 ha","1378.2181","I","Value imputed by a receiving agency",""
"RL","Land Use","218","Ecuador","5110","Area","6620","Cropland","2020","2020","1000 ha","2481","A","Official figure",""
"RL","Land Use","818","Egypt","5110","Area","6620","Cropland","2020","2020","1000 ha","3971","I","Value imputed by a receiving agency",""
"RL","Land Use","222","El Salvador","5110","Area","6620","Cropland","2020","2020","1000 ha","881","I","Value imputed by a receiving agency",""
"RL","Land Use","226","Equatorial Guinea","5110","Area","6620","Cropland","2020","2020","1000 ha","100","I","Value imputed by a receiving agency",""
"RL","Land Use","232","Eritrea","5110","Area","6620","Cropland","2020","2020","1000 ha","692","I","Value imputed by a receiving agency",""
"RL","Land Use","233","Estonia","5110","Area","6620","Cropland","2020","2020","1000 ha","699","A","Official figure",""
"RL","Land Use","748","Eswatini","5110","Area","6620","Cropland","2020","2020","1000 ha","195","I","Value imputed by a receiving agency",""
"RL","Land Use","231","Ethiopia","5110","Area","6620","Cropland","2020","2020","1000 ha","18476.1","A","Official figure",""
"RL","Land Use","234","Faroe Islands","5110","Area","6620","Cropland","2020","2020","1000 ha","0.07","A","Official figure",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2020","2020","1000 ha","138.6","A","Official figure",""
"RL","Land Use","246","Finland","5110","Area","6620","Cropland","2020","2020","1000 ha","2248","A","Official figure",""
"RL","Land Use","250","France","5110","Area","6620","Cropland","2020","2020","1000 ha","18021.58","B","Time series break",""
"RL","Land Use","254","French Guiana","5110","Area","6620","Cropland","2020","2020","1000 ha","16.384","B","Time series break",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2020","2020","1000 ha","28.5","I","Value imputed by a receiving agency",""
"RL","Land Use","266","Gabon","5110","Area","6620","Cropland","2020","2020","1000 ha","495","I","Value imputed by a receiving agency",""
"RL","Land Use","270","Gambia","5110","Area","6620","Cropland","2020","2020","1000 ha","447","I","Value imputed by a receiving agency",""
"RL","Land Use","268","Georgia","5110","Area","6620","Cropland","2020","2020","1000 ha","437.9","I","Value imputed by a receiving agency",""
"RL","Land Use","276","Germany","5110","Area","6620","Cropland","2020","2020","1000 ha","11862","A","Official figure",""
"RL","Land Use","288","Ghana","5110","Area","6620","Cropland","2020","2020","1000 ha","7417.5","A","Official figure",""
"RL","Land Use","300","Greece","5110","Area","6620","Cropland","2020","2020","1000 ha","2811.203","A","Official figure",""
"RL","Land Use","308","Grenada","5110","Area","6620","Cropland","2020","2020","1000 ha","7","I","Value imputed by a receiving agency",""
"RL","Land Use","312","Guadeloupe","5110","Area","6620","Cropland","2020","2020","1000 ha","21.684","B","Time series break",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","320","Guatemala","5110","Area","6620","Cropland","2020","2020","1000 ha","2737","I","Value imputed by a receiving agency",""
"RL","Land Use","324","Guinea","5110","Area","6620","Cropland","2020","2020","1000 ha","6278.5307","I","Value imputed by a receiving agency",""
"RL","Land Use","624","Guinea-Bissau","5110","Area","6620","Cropland","2020","2020","1000 ha","624.9114","I","Value imputed by a receiving agency",""
"RL","Land Use","328","Guyana","5110","Area","6620","Cropland","2020","2020","1000 ha","125","I","Value imputed by a receiving agency",""
"RL","Land Use","332","Haiti","5110","Area","6620","Cropland","2020","2020","1000 ha","1300","I","Value imputed by a receiving agency",""
"RL","Land Use","340","Honduras","5110","Area","6620","Cropland","2020","2020","1000 ha","1594","I","Value imputed by a receiving agency",""
"RL","Land Use","348","Hungary","5110","Area","6620","Cropland","2020","2020","1000 ha","4184.1357","A","Official figure",""
"RL","Land Use","352","Iceland","5110","Area","6620","Cropland","2020","2020","1000 ha","121","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6620","Cropland","2020","2020","1000 ha","168048","A","Official figure",""
